case_id,dataset,source_id,operator,shape_args,k,cout_blocks,group_size,group_num,cin_idx_total,res_cols,res_rows,stride,model_predicted_cycles,pytorchsim_cycles,rc,run_count,cycle_list,total_cycles,x_count,timeout,log,rtl_subset_status,ready_for_calibration,ready_for_direct_paper_data,paper_data_blocker,evidence_scope,quality_note
calib_01,synthetic_unet_trace,trace_gemm_005,gemm,1 256 64,1,2,4,4,2,1,1,1,552,656.0,124,0,NA,NA,0,yes,logs/calib_01.log,rtl_timeout_no_output,no,no,bounded_mac_wrapper_subset_not_full_chip_value_timing,real_workload_derived_mac_wrapper_rtl_subset,no_clean_cycle_marker_output
calib_02,synthetic_unet_trace,trace_gemm_015,gemm,256 64 512,1,8,4,4,1,4,1,1,8639,2131.0,124,0,NA,NA,0,yes,logs/calib_02.log,rtl_timeout_no_output,no,no,bounded_mac_wrapper_subset_not_full_chip_value_timing,real_workload_derived_mac_wrapper_rtl_subset,no_clean_cycle_marker_output
calib_03,workload_v1,dit_mlp_256_768_3072,gemm,256 768 3072,1,8,4,4,6,4,1,1,186767,36396.0,124,0,NA,NA,0,yes,logs/calib_03.log,rtl_timeout_no_output,no,no,bounded_mac_wrapper_subset_not_full_chip_value_timing,real_workload_derived_mac_wrapper_rtl_subset,no_clean_cycle_marker_output
calib_04,synthetic_unet_trace,trace_conv_013,conv,1 16 16 64 64 1 1 0,1,2,4,4,1,1,4,1,1362,999.0,124,0,NA,NA,0,yes,logs/calib_04.log,rtl_timeout_no_output,no,no,bounded_mac_wrapper_subset_not_full_chip_value_timing,real_workload_derived_mac_wrapper_rtl_subset,no_clean_cycle_marker_output
calib_05,synthetic_unet_trace,trace_conv_006,conv,1 32 32 64 64 1 1 0,1,2,4,4,1,1,4,1,5346,2117.0,124,0,NA,NA,0,yes,logs/calib_05.log,rtl_timeout_no_output,no,no,bounded_mac_wrapper_subset_not_full_chip_value_timing,real_workload_derived_mac_wrapper_rtl_subset,no_clean_cycle_marker_output
calib_06,synthetic_unet_trace,trace_conv_020,conv,1 32 32 128 64 1 1 0,1,2,4,4,1,1,4,1,7394,2206.0,124,0,NA,NA,0,yes,logs/calib_06.log,rtl_timeout_no_output,no,no,bounded_mac_wrapper_subset_not_full_chip_value_timing,real_workload_derived_mac_wrapper_rtl_subset,no_clean_cycle_marker_output
calib_07,synthetic_unet_trace,trace_conv_011,conv,1 32 32 64 64 3 2 1,3,2,4,4,1,1,4,2,6130,2745.0,0,4,133;133;133;133,532,0,no,logs/calib_07.log,rtl_complete_clean,yes,no,bounded_mac_wrapper_subset_not_full_chip_value_timing,real_workload_derived_mac_wrapper_rtl_subset,clean_complete_or_partial_cycle_markers
calib_08,synthetic_unet_trace,trace_conv_004,conv,1 32 32 64 64 3 1 1,3,2,4,4,1,1,4,1,24418,6796.0,0,4,133;133;133;133,532,0,no,logs/calib_08.log,rtl_complete_clean,yes,no,bounded_mac_wrapper_subset_not_full_chip_value_timing,real_workload_derived_mac_wrapper_rtl_subset,clean_complete_or_partial_cycle_markers
calib_09,workload_v1,unet_conv_64_320_320,conv,1 64 64 320 320 3 1 1,3,8,4,4,3,2,4,1,1041786,187707.0,124,2,454;454,908,0,yes,logs/calib_09.log,rtl_partial_progress_clean,yes,no,bounded_mac_wrapper_subset_not_full_chip_value_timing,real_workload_derived_mac_wrapper_rtl_subset,clean_complete_or_partial_cycle_markers
calib_10,workload_v1,unet_conv_32_640_640,conv,1 32 32 640 640 3 1 1,3,8,4,4,5,1,4,1,981652,136456.0,124,2,454;454,908,0,yes,logs/calib_10.log,rtl_partial_progress_clean,yes,no,bounded_mac_wrapper_subset_not_full_chip_value_timing,real_workload_derived_mac_wrapper_rtl_subset,clean_complete_or_partial_cycle_markers
